212:Date,Filter,Position,Lidar,Sonar
711:,False,-150.0,52.62065420560747,55.480399999999996,
711:,False,-145.71428571428572,54.095949820788526,55.480399999999996,
206:,False,-141.42857142857142,56.22679408138101,55.480399999999996,
206:,False,-137.14285714285714,55.72302325581395,55.480399999999996,
206:,False,-132.85714285714286,53.544691943127965,54.4336,
206:,False,-128.57142857142858,56.910199252801995,55.480399999999996,
206:,False,-124.28571428571429,54.899649334945586,55.480399999999996,
702:,False,-120.00000000000001,55.72302325581395,55.480399999999996,
702:,False,-115.71428571428571,53.15650176678445,54.4336,
702:,False,-111.42857142857143,55.72302325581395,55.480399999999996,
702:,False,-107.14285714285715,54.73735826296744,55.480399999999996,
702:,False,-102.85714285714286,54.818405797101455,55.480399999999996,
214:,False,-98.57142857142858,56.14231527093596,55.480399999999996,
214:,False,-94.28571428571429,52.093499420625726,55.480399999999996,
215:,False,-90.0,54.33503597122303,56.5272,
215:,False,-85.71428571428572,55.47390243902439,55.480399999999996,
215:,False,-81.42857142857143,56.14231527093596,55.480399999999996,
710:,False,-77.14285714285714,54.575848375451265,55.480399999999996,
710:,False,-72.85714285714286,55.639779951100245,55.480399999999996,
710:,False,-68.57142857142857,55.47390243902439,55.480399999999996,
710:,False,-64.28571428571429,52.92577464788733,56.5272,
710:,False,-60.00000000000001,53.46668639053255,55.480399999999996,
222:,False,-55.714285714285715,56.22679408138101,55.480399999999996,
223:,False,-51.42857142857143,55.8901226993865,56.5272,
223:,False,-47.142857142857146,52.62065420560747,55.480399999999996,
223:,False,-42.85714285714286,55.639779951100245,55.480399999999996,
223:,False,-38.57142857142857,54.495384615384616,55.480399999999996,
718:,False,-34.285714285714285,55.14456310679612,55.480399999999996,
718:,False,-30.000000000000004,55.8901226993865,54.4336,
718:,False,-25.714285714285715,53.00250293772033,55.480399999999996,
718:,False,-21.42857142857143,51.870184757505776,55.480399999999996,
718:,False,-17.142857142857142,54.495384615384616,55.480399999999996,
214:,False,-12.857142857142858,53.93750893921335,55.480399999999996,
214:,False,-8.571428571428571,54.2551497005988,55.480399999999996,
214:,False,-4.285714285714286,54.2551497005988,55.480399999999996,
214:,False,0.0,54.33503597122303,55.480399999999996,
214:,False,-4.285714285714286,54.2551497005988,55.480399999999996,
725:,False,-8.571428571428571,55.30883211678833,55.480399999999996,
725:,False,-12.857142857142858,56.311481481481486,54.4336,
726:,False,-17.142857142857142,55.55673992673993,55.480399999999996,
726:,False,-21.42857142857143,55.22659781287971,55.480399999999996,
726:,False,-25.714285714285715,54.575848375451265,55.480399999999996,
222:,False,-30.000000000000004,55.22659781287971,55.480399999999996,
222:,False,-34.285714285714285,55.22659781287971,55.480399999999996,
